drug,reaction,atom_idx,element,effect,baseline_score
dapagliflozin,Urinary tract infection,7,C,0.0004048943519592285,0.616567075252533
dapagliflozin,Urinary tract infection,8,C,0.0008390545845031738,0.616567075252533
dapagliflozin,Urinary tract infection,9,C,0.007412910461425781,0.616567075252533
dapagliflozin,Urinary tract infection,10,C,0.0018742084503173828,0.616567075252533
dapagliflozin,Urinary tract infection,11,C,0.0030426383018493652,0.616567075252533
dapagliflozin,Urinary tract infection,12,C,0.004473626613616943,0.616567075252533
dapagliflozin,Urinary tract infection,13,C,0.0018849968910217285,0.616567075252533
dapagliflozin,Urinary tract infection,14,C,0.005223333835601807,0.616567075252533
dapagliflozin,Urinary tract infection,15,C,0.002785027027130127,0.616567075252533
dapagliflozin,Urinary tract infection,16,C,0.00037223100662231445,0.616567075252533
dapagliflozin,Urinary tract infection,17,C,0.00020170211791992188,0.616567075252533
dapagliflozin,Urinary tract infection,18,C,-0.0003631711006164551,0.616567075252533
dapagliflozin,Urinary tract infection,19,C,0.002416670322418213,0.616567075252533
dapagliflozin,Urinary tract infection,20,C,0.0012467503547668457,0.616567075252533
dapagliflozin,Urinary tract infection,21,O,0.009374797344207764,0.616567075252533
dapagliflozin,Urinary tract infection,22,C,-0.002145111560821533,0.616567075252533
dapagliflozin,Urinary tract infection,23,O,0.011304616928100586,0.616567075252533
dapagliflozin,Urinary tract infection,24,O,-0.0031130313873291016,0.616567075252533
dapagliflozin,Urinary tract infection,25,O,-0.00260162353515625,0.616567075252533
dapagliflozin,Urinary tract infection,26,O,0.0016341805458068848,0.616567075252533
dapagliflozin,Urinary tract infection,27,Cl,-0.002873241901397705,0.616567075252533
empagliflozin,Lactic acidosis,0,C,-0.004442930221557617,0.8664347529411316
empagliflozin,Lactic acidosis,1,C,-0.003298640251159668,0.8664347529411316
empagliflozin,Lactic acidosis,2,O,0.002689540386199951,0.8664347529411316
empagliflozin,Lactic acidosis,3,C,-0.0015318989753723145,0.8664347529411316
empagliflozin,Lactic acidosis,4,C,-0.002100348472595215,0.8664347529411316
empagliflozin,Lactic acidosis,5,O,0.0032941699028015137,0.8664347529411316
empagliflozin,Lactic acidosis,6,C,0.0035483241081237793,0.8664347529411316
empagliflozin,Lactic acidosis,7,C,0.00037157535552978516,0.8664347529411316
empagliflozin,Lactic acidosis,8,C,-0.0001309514045715332,0.8664347529411316
empagliflozin,Lactic acidosis,9,C,0.0008497834205627441,0.8664347529411316
empagliflozin,Lactic acidosis,10,C,-0.0001309514045715332,0.8664347529411316
empagliflozin,Lactic acidosis,11,C,0.00037157535552978516,0.8664347529411316
empagliflozin,Lactic acidosis,12,C,0.008062362670898438,0.8664347529411316
empagliflozin,Lactic acidosis,13,C,-0.004939436912536621,0.8664347529411316
empagliflozin,Lactic acidosis,14,C,-0.004406094551086426,0.8664347529411316
empagliflozin,Lactic acidosis,15,C,0.0008628964424133301,0.8664347529411316
empagliflozin,Lactic acidosis,16,C,0.0029636621475219727,0.8664347529411316
empagliflozin,Lactic acidosis,17,C,0.002216339111328125,0.8664347529411316
empagliflozin,Lactic acidosis,18,C,0.00814288854598999,0.8664347529411316
empagliflozin,Lactic acidosis,19,C,0.0007849335670471191,0.8664347529411316
empagliflozin,Lactic acidosis,20,C,-0.0010506510734558105,0.8664347529411316
